"DateTime","Moc chwilowa PV"
"2022-05-20 05:21:14",0.001
"2022-05-20 05:25:02",0
"2022-05-20 05:31:14",0.097
"2022-05-20 05:36:13",0.12
"2022-05-20 05:41:14",0.12
"2022-05-20 05:46:14",0.24
"2022-05-20 05:50:02",0.158
"2022-05-20 05:56:14",0.29
"2022-05-20 06:01:16",0.238
"2022-05-20 06:06:14",0.362
"2022-05-20 06:10:02",0.474
"2022-05-20 06:16:14",0.387
"2022-05-20 06:22:27",1.158
"2022-05-20 06:26:13",1.115
"2022-05-20 06:31:16",1.307
"2022-05-20 06:35:01",1.6
"2022-05-20 06:40:01",1.68
"2022-05-20 06:46:13",1.645
"2022-05-20 06:50:01",1.895
"2022-05-20 06:56:16",1.92
"2022-05-20 07:00:02",1.752
"2022-05-20 07:06:14",1.065
"2022-05-20 07:10:02",1.105
"2022-05-20 07:16:13",1.358
"2022-05-20 07:21:14",1.674
"2022-05-20 07:26:14",1.32
"2022-05-20 07:31:14",1.56
"2022-05-20 07:36:14",1.2
"2022-05-20 07:41:16",1.43
"2022-05-20 07:46:13",1.212
"2022-05-20 07:50:02",1.383
"2022-05-20 07:56:13",1.475
"2022-05-20 08:00:02",1.258
"2022-05-20 08:05:02",1.2
"2022-05-20 08:11:13",1.358
"2022-05-20 08:16:14",1.794
"2022-05-20 08:20:01",2.062
"2022-05-20 08:26:15",1.925
"2022-05-20 08:31:14",2.167
"2022-05-20 08:36:14",2.28
"2022-05-20 08:42:28",1.925
"2022-05-20 08:47:28",1.92
"2022-05-20 08:50:02",1.87
"2022-05-20 08:56:14",1.935
"2022-05-20 09:00:02",2.053
"2022-05-20 09:05:02",2.04
"2022-05-20 09:11:14",2.129
"2022-05-20 09:15:02",1.579
"2022-05-20 09:20:01",1.565
"2022-05-20 09:25:01",2.16
"2022-05-20 09:31:15",2.021
"2022-05-20 09:35:01",2.071
"2022-05-20 09:40:02",1.674
"2022-05-20 09:45:01",1.686
"2022-05-20 09:50:02",2.153
"2022-05-20 09:56:13",2.038
"2022-05-20 10:01:14",1.794
"2022-05-20 10:06:14",2.04
"2022-05-20 10:10:02",2.211
"2022-05-20 10:15:01",2.528
"2022-05-20 10:21:15",2.888
"2022-05-20 10:25:01",3.027
"2022-05-20 10:31:14",3.088
"2022-05-20 10:36:14",3.12
"2022-05-20 10:41:13",3.13
"2022-05-20 10:46:14",3.11
"2022-05-20 10:51:13",3.13
"2022-05-20 10:55:02",2.987
"2022-05-20 11:02:28",3.148
"2022-05-20 11:06:15",3.172
"2022-05-20 11:11:14",3.13
"2022-05-20 11:16:13",3.251
"2022-05-20 11:21:15",3.195
"2022-05-20 11:26:14",3.275
"2022-05-20 11:31:14",3.24
"2022-05-20 11:36:13",3.251
"2022-05-20 11:41:15",3.219
"2022-05-20 11:45:01",3.154
"2022-05-20 11:50:02",3.373
"2022-05-20 11:55:01",3.251
"2022-05-20 12:01:13",3.29
"2022-05-20 12:05:01",3.474
"2022-05-20 12:11:14",3.185
